adult,id,overview,popularity,title,vote_average,vote_count,release_year,release_month,genre,country,principal_cast,director
False,267,A scorned ex-convict forces himself into the lives of the couple who put him behind bars.,6.715019,Live Flesh,7.2,89.0,1997,Octubre,Drama,France,,
False,10722,"The story revolves around a Basque Roman Catholic priest dedicated to committing as many sins as possible (Angulo), a death metal salesman from Carabanchel (Segura), and the Italian host of a TV show on the occult (De Razza). These go on a literal ""trip"" through Christmas-time Madrid to hunt for and prevent the reincarnation of the Antichrist.",5.759423,The Day of the Beast,6.9,106.0,1995,Octubre,Action,Italy,,
False,65749,A dangerous love affair inspires a director to create the most spectacular and bodly seductive dance film ever made. 1998 Oscar Nominee Best Foreign Language Film.,0.596717,Tango,6.8,6.0,1998,Febrero,Drama,Argentina,,
False,1414,"Otto and Ana are kids when they meet each other. Their names are palindromes. They meet by chance, people are related by chance. A story of circular lives, with circular names, and a circular place (Círculo polar) where the day never ends in the midnight sun. There are things that never end, and Love is one of them.",2.995334,Lovers of the Arctic Circle,7.1,54.0,1998,Septiembre,Drama,Spain,,
False,1902,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",8.842959,Open Your Eyes,7.4,211.0,1997,Diciembre,Drama,Spain,,
False,69851,"After his son dies, an elderly man comes back to Spain from the US and hopes to find out which of his granddaughters is true, and which one is bastard.",0.81126,The Grandfather,6.7,11.0,1998,Octubre,Drama,Spain,,
False,42020,"In a Gypsy village, the fathers of Candela and José promise their children to each other. Years later, the unfaithful José marries Candela but while defending his lover Lucía in a brawl, he is stabbed to death. Carmelo, who secretly loves Candela since he was a boy, is arrested while helping José and unfairly sent to prison. Four years later he is released and declares his love for Candela. However, the woman is cursed by a bewitched love and every night she goes to the place where José died to dance with his ghost.",0.185772,El Amor Brujo,7.0,4.0,1986,Marzo,Sin info,Spain,,
False,48797,"A new patient mysteriously appears in a psychiatric ward. He claims to come from another planet to study humans and their behavior. The alien is gentle but criticizes humans for their harsh treatment of each other. The assigned psychiatrist is himself unhappy, and affected by the patient's insight. But he is ordered to treat the patient according to institutional procedure.",1.011919,Man Facing Southeast,7.1,12.0,1986,Septiembre,Mystery,Argentina,,
False,144953,"After making a 3-hour fiasco about New York City's water supply, a two-man film crew decides to take it up a notch by documenting life in the private investigator offices of ""Boone and Murphy"". Cheating husbands and missing dogs fail to bring in the big bucks however, and after sleeping with the wife of one of their clients Murphy leaves. To stop Boone from having to close down the business the two film-makers must resort to a hands-on approach in the investigations to ensure the completion of their movie.",1.193384,Where's Marlowe?,5.5,2.0,1998,Enero,Comedy,United States of America,,
False,4203,"Pepa resolves to kill herself with a batch of sleeping-pill-laced gazpacho after her lover leaves her. Fortunately, she is interrupted by a deliciously chaotic series of events.",5.470331,Women on the Verge of a Nervous Breakdown,7.6,149.0,1988,Marzo,Comedy,Spain,,
False,99,"A single mother in Madrid sees her only son die on his birthday as he runs to seek an actress' autograph. Beside herself with grief, she returns to Barcelona to tell the boy's father about the death of the son he never knew he had.",10.000915,All About My Mother,7.4,337.0,1999,Abril,Comedy,Spain,,
False,17343,An erotic horror tale about a vixen vampiress seducing and killing women to appease her insatiable thirst for female blood.,3.047838,Vampyros Lesbos,5.5,29.0,1971,Julio,Horror,Germany,,
False,79474,"From the land of Almodovar comes a hot new film about drugs, sex &amp; everything else!",0.217406,"Not Love, Just Frenzy",4.6,4.0,1996,Noviembre,Comedy,Spain,,
False,32015,"An unabashed exercise in cinema stylistics, I Am Cuba is pro-Castro/anti-Batista rhetoric dressed up in the finest clothes. The film's four dramatic stories take place in the final days of the Batista regime; the first two illustrate the ills that led to the revolution, the third and fourth the call to arms which cut across social and economic lines.",2.254539,I Am Cuba,8.0,33.0,1964,Septiembre,Drama,Russia,,
False,9367,"El Mariachi just wants to play his guitar and carry on the family tradition. Unfortunately, the town he tries to find work in has another visitor...a killer who carries his guns in a guitar case. The drug lord and his henchmen mistake El Mariachi for the killer, Azul, and chase him around town trying to kill him and get his guitar case.",9.972591,El Mariachi,6.6,243.0,1992,Septiembre,Action,Mexico,,
False,42002,This gruesome horror film is about a mother-fixated ophthalmologist's assistant with an unhealthy interest in eyeballs and goes on a killing spree to collect human eyeballs for his mother's collection. But this is all just a horror movie viewed by a small crowd where a very real killer in the audience begins killing the patrons one by one paralleling the action in the other movie.,3.288353,Anguish,6.6,29.0,1987,Noviembre,Crime,Spain,,
False,40365,"A young husband's sexual fantasies frighten his new wife and cause her to seek advice from Carmilla, a descendent of Mircalla de Karnstein. Carmilla seduces the young bride and forces her to commit gory acts of mutilation.",1.076492,The Blood Spattered Bride,6.0,15.0,1972,Septiembre,Horror,Spain,,
False,31023,"The film centres on Moncho and his coming-of-age experience in Galicia in 1936. Moncho develops a close relationship with his teacher Don Gregorio who introduces the boy to different things in the world. While the story centres on Moncho's ordinary coming-of-age experiences, tensions related to the looming Spanish Civil War periodically interrupt Moncho's personal growth and daily life.",2.753674,Butterfly,7.2,44.0,1999,Septiembre,Drama,Spain,,José Luis Cuerda
False,29263,"After the end of the Dirty War, a high school teacher sets out to find out who the mother of her adopted daughter is.",1.956906,The Official Story,7.3,24.0,1985,Abril,Drama,Argentina,,
False,80713,"Maria, whose parents live in the country, cannot stand her father's authoritarian ways and moves to the city. She finds a job as a cleaner and tries to survive in a wretched apartment in the shabby part of a big city. She is pregnant, and the fact that her boyfriend has abandoned her does not help matters. When her father goes to the hospital for an operation, her mother comes to stay with her. Her neighbor, an old recluse whose only friend is his dog, begins to come out of his shell and these three lost souls try to give each other the strength to start over.",0.454971,Alone,6.7,10.0,1999,Marzo,Drama,Spain,,
False,55,Three different people in Mexico City are catapulted into dramatic and unforeseen circumstances in the wake of a terrible car crash: a young punk stumbles into the sinister underground world of dog fighting; an injured supermodel's designer pooch disappears into the apartment's floorboards; and an ex-radical turned hit man rescues a gunshot Rotweiler.,5.958138,Amores perros,7.6,537.0,2000,Junio,Drama,Mexico,,
False,44321,"World-weary arthur Fernando has returned to his native Colombia to live out his days in peace.  But Fernando's once-quiet hometown has become a hotbed of violence, drugs and corruption.  On the brink of despair, Fernando meets Alexis, a beautiful but hardened street kid who lives by the rule of the gun.  Together, they forge an unlikely relationship.",0.985777,Our Lady of the Assassins,6.5,16.0,2000,Septiembre,Crime,Colombia,,
False,58429,"Chekhov in contemporary Argentina. Mecha and Gregorio are at their rundown country place near La Ciénaga with their teen children. It's hot. The adults drink constantly; Mecha cuts herself, engendering a trip to the hospital and a visit from her son José. A cousin, Tali, brings her children. The kids are on their own, sunbathing by the filthy pool, dancing in town, running in the hills with shotguns, driving cars without licenses. One of the teen girls loves Isabel, a family servant constantly accused of stealing. Mother and son, son and sisters, teen and Isabel are in each other's beds and bathrooms with a creepy intimacy. With no adults paying attention, who's at risk?",1.628692,La Cienaga,7.1,22.0,2001,Abril,Comedy,Argentina,,
False,27092,"Set in Argentina in 1965, the story follows the tumultuous relationship between two men who became lovers and ultimately ruthless bank robbers in a notoriously famous footnote in the annals of crime history. After a large-scale hold-up that turns bloody, the two men must flee. It is not long before the police are surrounding the building they are in and they must confront their demons to survive.",2.169971,Burnt Money,6.4,21.0,2000,Mayo,Crime,Argentina,,
False,1433,"After losing his father, 10-year-old Carlos arrives at the Santa Lucia School, which shelters orphans of the Republican militia and politicians, and is taken in by the steely headmistress, Carmen, and the kindly professor, Casares. Soon after his arrival, Carlos has a run-in with the violent caretaker, Jacinto. Gradually, Carlos uncovers the secrets of the school, including the youthful ghost that wanders the grounds.",11.111299,The Devil's Backbone,7.2,277.0,2001,Abril,Fantasy,Spain,,
False,2441,"A film set in the Basque region, beginning in the Carlist war of 1875 and ending during the Spanish Civil war of 1936. The film portrays how one single act of cowardice shapes the life of the next three generations of two families and fuels the intense rivalry which will span the next sixty-one years.",1.9687,Cows,5.2,13.0,1992,Febrero,Drama,Spain,,
False,4499,"Almodovar's first film of life in Madrid during the punk era and not one for the squeamish. He covers everything from drugs and sexual violence, to female masochism.",1.253508,"Pepi, Luci, Bom",6.7,25.0,1980,Octubre,Comedy,Spain,,
False,1391,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",13.962548,Y Tu Mamá También,7.3,321.0,2001,Junio,Drama,Mexico,,
False,18079,An Argentinian crime drama revolving around a sheet of rare stamps (the Nine Queens).,5.324962,Nine Queens,7.4,156.0,2000,Agosto,Crime,Argentina,,
False,1364,"Various lives converge on an isolated island, all connected by an author whose novel has become inextricably entwined with his own life.",8.164312,Sex and Lucia,6.6,132.0,2001,Agosto,Drama,Spain,,
False,26165,"The love story who transformed Juana I de Castilla, Queen of Spain, into Juana ""The mad"". The tragic fate of a Queen madly in love to an unfaithful husband, Felipe el Hermoso, Archduke of Austria.",1.059641,Mad Love,5.2,6.0,2001,Septiembre,Drama,Spain,,
False,9299,"While doing a thesis about violence, Ángela finds a snuff video where a girl is tortured until death. Soon she discovers that the girl was a former student in her faculty...",7.110912,Thesis,7.2,165.0,1996,Abril,Horror,Spain,,
False,19460,"At age 42, Rafael Belvedere is having a crisis. He lives in the shadow of his father, he feels guilty about rarely visiting his aging mother, his ex-wife says he doesn't spend enough time with their daughter and he has yet to make a commitment to his girlfriend. At his lowest point, a minor heart attack reunites him with Juan Carlos, a childhood friend, who helps Rafael to reconstruct his past.",3.319598,Son of the Bride,7.3,37.0,2001,Agosto,Comedy,Argentina,,
False,542,The young Father Amaro is put to the test. He is sent to Mexico to help take care of aging Father Benito when he meets a 16-year-old girl that he begins and affair with. It turns out the girls mother had been having an affair with Father Benito. Father Amaro must soon choose between the holy or the sinful life.,2.195447,The Crime of Padre Amaro,6.2,36.0,2002,Octubre,Drama,Mexico,,
False,204372,"A suicidal young singer named Reni (Cecilia Bengolea) is about to get kicked out of her band when she meets a male gigolo, Andres (Leonardo Brezicki), at an ATM after he picks her pocket. They begin an affair, and she decides to become a hooker so she can spend more time with her newfound love. Suicide's beginning to look good! Filmed in Buenos Aires.",0.181198,Smokers Only,5.0,1.0,2002,Junio,Drama,Argentina,,
False,64,Two men share an odd friendship while they care for two women who are both in deep comas.,6.648278,Talk to Her,7.5,273.0,2002,Marzo,Drama,Spain,,
False,33504,"El Bola, a 12 year old boy a.k.a. ""Pellet"" is a 12 year old boy raised in a violent and sordid environment. Embarrassed by his family life, he avoids becoming close to classmates. The arrival of a new boy at school changes his attitude towards his classmates, and friendship. The heart of the story is the change in El Bola's life, at almost all levels, after befriending this new classmate. Written by ElianaM",2.503983,El Bola,7.1,26.0,2000,Octubre,Drama,Spain,,
False,10856,An enigmatic tale of four people whose lives are intertwined by destiny are subject to the laws of fate. They discover that luck is something they cannot afford to be without as they gamble with the highest stakes possible in a deadly game from which only one of them will emerge intact.,3.249017,Intacto,6.7,48.0,2001,Noviembre,Action,Spain,,
False,8219,"A camp melodrama/comedy about Sexilia (a nymphomaniac), Sadec (a gay Islamic terrorist), Riza Niro (the son of the emperor of Tiran), and Queti (the daughter of a dry-cleaner).",3.805265,Labyrinth of Passion,6.5,26.0,1982,Septiembre,Comedy,Spain,,
False,48139,The movie tells a melancholic story of a little girl who is living in a city in the north. She is fascinated by the secrets of the south which seem to be hidden in the personality of her father.,1.152642,El Sur,7.2,16.0,1983,Mayo,Drama,Spain,,
False,81346,Sin info,0.286929,To Begin Again,6.3,8.0,1982,Marzo,Sin info,Spain,,José Luis Garci
False,36211,"A painter from the big city goes to a remote canyon to commit suicide. To reach some calmness he stays at the farmstead of Ascen, an old religious woman. Although but a few words are spoken love grows.",0.398828,Japón,7.3,10.0,2002,Enero,Drama,Germany,,Carlos Reygadas
False,2470,"In 1931, a young soldier deserts from the army and falls into a country farm, where he is welcomed by the owner due to his political ideas. Manolo has four daughters, Fernando likes all of them and they like him, so he has to decide which one to love.",3.565278,Belle Époque,6.9,32.0,1992,Diciembre,Comedy,Spain,,
False,115665,"Three friends, two young men and a young woman, are bored by the normal world of their parents and want to flee in order to start living somewhere else. Thus they make a pervert plan: rob their own families. After that they flee without any destination and without having really planned where to go to.",0.668037,Extasis,6.3,4.0,1996,Febrero,Drama,Spain,,Mariano Barroso
False,40947,"Located in Madrid's Plaza del Sol, Km. 0 is the point from which all distances in Spain are measured from the capital. In Km. 0, it is also the meeting point for a gallery of characters. Bored, affluent housewife Marga meets up with gigolo Miguel, who co-habitates with gay Benjamin. Sergio, a soon-to-be-married office clerk who can't wait to lose his virginity, makes the acquaintance of prostitute Tatiana, while gay dancer Bruno meets Maximo. Meanwhile, wannabe director Pedro arranges to meet up with Silvia, an actress who wants to work in musicals directed by Gerardo, and bartender Mario is caught between Amor, who wants to marry him, and her little sister Roma, who is truly in love with him.",0.678689,Km. 0,7.2,5.0,2000,Enero,Comedy,Spain,,
False,71714,"Lucia, an children's book author, tells the story of her husband's disappearance. One day on their way to Brazil he just disappears. She goes to the police, gets a ransom note, and makes friends with the old dude downstairs and the young dude upstairs as she tries to find him. Things take a bit of a twist as she realized the kidnapping may not be as simple as it seems on the surface.",0.831106,"Lucía, Lucía",6.3,4.0,2003,Enero,Adventure,Mexico,Cecilia Roth,
False,54580,"After the closure of their shipyard in Northern Spain, a few former workers: Santa, José, Lino, Amador, Sergei and Reina keep in touch. They meet mainly at a bar owned by their former colleague Rico. Santa is the most superficially confident and the unofficial leader of the group. A court case hangs over him relating to a shipyard lamp he smashed during protest against the closure. José is bitter that his wife, Ana, is employed when he is not. The gap between them is widening and he is fearful that she will leave him for a co-worker. Despite arthritic legs, Ana endures night shifts at a fish factory and thinks her looks are now lost. Not everyone seems to agree including her boss. Lino, an aging family man doggedly pursuing positions beyond his qualifications. The oldest member of the group, Amador, has degenerated into alcoholism after being abandoned by his wife; maintaining an increasingly transparent pretense that his wife will soon return from holiday.",2.061389,Mondays in the Sun,7.0,37.0,2002,Septiembre,Drama,Spain,,
False,80047,"In the summer of 1816, Percy Shelley, his mistress Mary, and her stepsister Claire visit Lord Byron at Lake Geneva. Byron challenges each to write a horror story, and Mary begins her novel, Frankenstein. She imagines the monster becoming real, and for the next six years, as tragedy befalls those around her, she believes the personification of her imagination is the cause. Against this backdrop, Claire has Byron's baby then is estranged from him and barred from her daughter. Byron and Percy continue their friendship, the one self-centered and decadent, the other wildly idealistic. The Shelleys take up residence near Pisa.",0.00469,Rowing with the Wind,4.2,5.0,1988,Enero,Horror,Sin info,Hugh Grant,
False,41806,"Paulino and Carmela are husband and wife, troubadours touring the countryside during the Spanish Civil War. They are Republicans, and with their mute assistant, Gustavete, they journey into rebel territory by mistake. They are arrested, fear a firing squad, and receive a reprieve from an Italian Fascist commander who loves the theatre. He arranges a performance for his troops, bargaining with Paulino to stage a burlesque of the republic in exchange for the actors' freedom. Will the fiery and patriotic Carmela consent?",0.940509,"Ay, Carmela!",6.5,11.0,1990,Marzo,Drama,Italy,,
False,38874,"Two angels, one from the heaven and one from the hell, come to earth to save the soul of a boxer.",1.214691,Don't Tempt Me,5.9,19.0,2001,Noviembre,Comedy,Spain,Penélope Cruz,Agustín Díaz Yanes
False,99648,"Marcia (Tatiana Saphir), a frumpy and overweight salesgirl who seems to lead a banal and dreary existence, goes to work one day. As she walks she catches the eye of a feisty butch punk woman named Mao (Carla Crespo) who tells Marcia she wants to seduce her. Marcia tells Mao that she's not a lesbian, but Mao is relentless. With the help of her friend Lenin (Veronica Hassan), Mao manages to talk Marcia into getting into a cab that the two lesbian women then immediately car-jack.",0.214796,Suddenly,6.3,6.0,2002,Abril,Drama,Argentina,,
False,2722,"When Paula leaves her mate Pedro, he misses her and looks for comfort with his best friends, Javier and Sonia. Paula is having an affair with Javier. The cuckold Pedro tries to find who is the secret lover of Paula, and hires a private eye. Meanwhile, while comforting Pedro, Sonia has one night stand with him and Javier thinks she is cheating him with her lesbian friend Lucia.",1.99771,The Other Side of the Bed,6.3,24.0,2002,Abril,Romance,Spain,,
False,278813,The true story of the rise of a Japanese businessman from Los Angeles named Eishy Hayata from an Airline engineer into the legend of the Emerald world -- the Emerald Cowboy,0.002353,Esmeraldero,0.0,0.0,2003,Noviembre,Sin info,Sin info,,
False,11477,"Julia finds 300 million pesetas hidden in a dead man's house while selling an apartment. She's a 40-ish real estate agent now forced to face the wrath of a very peculiar community (of neighbors), headed by an unscrupulous administrator. Black humor gives way to suspense, closely followed by horror that doesn't take long in coming to a head in undisguised pandemonium.",3.693966,Common Wealth,6.9,57.0,2000,Septiembre,Comedy,Spain,,
False,70709,"Fact and fiction are combined in this story about Jack Ruby and a stripper, Candy Cane, and how they become involved in a conspiracy to kill J.F.K.",0.289508,Ruby,3.0,4.0,1992,Marzo,Drama,United States of America,,
False,8047,A conflicted youth confesses to crimes he didn't commit while a man and woman aroused by death become obsessed with each other.,3.518094,Matador,6.7,43.0,1986,Marzo,Drama,Spain,,
False,8222,"High Heels is a murder mystery comedy centering on flamboyant actress Becky del Paramo and her daughter Rebecca, a television anchorwoman. After being estranged for 15 years, Becky re-enters Rebecca's life when she comes to perform a concert.  Rebecca, she finds, is now married to one of Becky's ex-lovers, Manuel. The mother and daughter begin making up for lost time, when suddenly, a murder occurs...",4.563892,High Heels,7.2,66.0,1991,Octubre,Comedy,Spain,,
False,41785,"An international award winning saga of old Mexico. In 1528, a Spanish expedition founders off the coast of Florida with 600 lives lost. One survivor, Alvar Nunez Cabeza de Vaca, roams across the American continent searching for his Spanish comrades. Instead, he discovers the Iguase, an ancient Indian tribe. Over the next eight years, Cabeza de Vaca learns their mystical and mysterious culture, becoming a healer and a leader. But soon this New World collides with the Old World as Spanish conquistadors seek to enslave the Indians, and Cabeza de Vaca must confront his own people and his past.",1.348021,Cabeza de Vaca,6.8,5.0,1991,Octubre,Action,Mexico,,
False,83505,"Zapa is a locksmith in a quiet and little town lost somewhere in the province of Buenos Aires. The work is quite slow, and hours seem to pass slowly. Polaco, the owner of the shop, sends him on a job that consists of opening a safe at an office. The next day, Zapa is imprisoned for being responsible of robbing the place. Ismael, his uncle, a retired policeman, bails him out and sends him to Buenos Aires. Zapa becomes an aspiring officer in the Buenos Aires Police. He gets to his new home city, takes the instructional course, works at a precinct, has a love affair with a teacher and starts to see his life turn into a strange fiction.",0.695413,El Bonaerense,7.2,10.0,2002,Septiembre,Sin info,Argentina,,
False,14430,"Mexico, 1949. The fable of a janitor turned Mayor on a little town lost in the Mexican desert, who gradually realizes how far his new acquainted power and corruption can get him.",1.955107,Herod's Law,7.7,23.0,1999,Noviembre,Comedy,Mexico,,
False,30125,"Valentin, a 9-year-old boy living with his grandmother in late-1960s Buenos Aires, believes his family has problems that only he can solve. The youngster dreams of being reunited with his mother, who's separated from Valentin's abusive father.",1.756683,Valentin,7.1,19.0,2003,Abril,Drama,Argentina,,Alejandro Agresti
False,4497,"Viridiana, a young nun about to take her final vows, pays a visit to her widowed uncle at the request of her Mother Superior.",5.407513,Viridiana,7.6,93.0,1961,Mayo,Drama,Spain,,
False,4507,"Jose Luis is an executive at his parents underwear factory where his girlfriend Sylvia works on the shop floor. When Sylvia becomes pregnant, Jose Luis promises her that he will marry her, most likely against the wishes of his parents. Jose Luis' mother is determined to break her son's engagement to a girl from a lower-class family, and hires Raul, a potential underwear model and would-be bullfighter to seduce Sylvia.",4.117851,Jamon Jamon,6.2,60.0,1992,Septiembre,Comedy,Spain,,
False,57544,"Nino and Bruno are two comedians who reach the heights of success with their duo act, turning them into huge TV celebrities. However, the hate between them grows as fast, and as much, as their fame",0.396431,Dying of Laughter,6.1,18.0,1999,Marzo,Comedy,Sin info,Santiago Segura,Álex de la Iglesia
False,29264,"The guests at an upper-class dinner party find themselves unable to leave.  The Exterminating Angel is a 1962 surrealist film, written and directed by Luis Buñuel, starring Silvia Pinal. Sharply satirical and allegorical, the film contains a view of human nature suggesting ""mankind harbors savage instincts and unspeakable secrets"". It is considered one of the best 1,000 films by The New York Times.",5.038905,The Exterminating Angel,7.8,118.0,1962,Mayo,Comedy,Mexico,,
False,436,A pregnant Colombian teenager becomes a drug mule to make some desperately needed money for her family.,5.450934,Maria Full of Grace,6.9,103.0,2004,Enero,Drama,Ecuador,,
False,67297,A company of Spanish movie makers leaves Franco's Spain and moves to Hitler's Germany to make a film in co-production. Soon some problems start to arise...,2.289624,The Girl of Your Dreams,7.1,15.0,1998,Noviembre,Comedy,Spain,Penélope Cruz,
False,46767,"A Nazi doctor who had a fetish for young boys feels guilt after torturing and murdering his latest victim, and throws himself off a roof. Some years later, the doctor, confined to an iron lung, accepts as his nurse a boy who secretly witnessed that killing.",1.247317,In a Glass Cage,7.0,24.0,1987,Marzo,Drama,Spain,,
False,62395,"Left on the doorstep of a monastery as an infant, Marcelino was raised by the monks. He was well-cared for but lonely and missed having a mother. One day he found a special friend in the forbidden attic, hanging on a cross. A friend that would repay Marcelino's kindness by granting him one heart-felt wish.",1.406589,The Miracle of Marcelino,6.0,34.0,1954,Febrero,Drama,Italy,,
False,72613,"This remake of the 1926 silent film classic and play follows the adventures of a group of Marines stationed in France during World War I. Two military men, Captain Flagg (James Cagney) and Sergeant Quirt (Dan Dailey), who are rivals to begin with, grow more at odds with each other when Quirt is made Flagg's top sergeant. And when a local beauty (Corinne Calvet) comes between them, their rivalry escalates even further. But when they discover that the woman has marriage in mind, they now compete to try to avoid marching down the aisle - that is, until they are called upon to march into battle - in this compelling film that also stars Robert Wagner and William Demarest.",0.690709,What Price Glory,6.3,3.0,1952,Agosto,Drama,United States of America,James Cagney,
False,20316,"Victor is a man who gets to Paris to join his family around their seriously ill father, Max. As the chance of selling the family business begins to disrupt the family relationships, Victor is desperately asked for help by Max. What seems in the beginning mere delusions of an old man losing his mind, begin to show traces of some sort of real 'secret' that is troubling Max's last days. Victor decide to help his father to find that something (maybe just peace) he is searching for. Written by Snatcho",2.268551,The City of No Limits,6.5,8.0,2002,Marzo,Thriller,Argentina,Leonardo Sbaraglia,
False,89482,"Union general William T. Sherman said, ""War is all hell."" He might easily have been referring to the conflict in Kosovo. Director Daniel Calparsoro lenses a tense drama that revolves around a platoon of Spanish soldiers, following the innocent young men as they step from the training field into a hell for which nothing could have prepared them.",0.94879,Warriors,3.7,3.0,2002,Marzo,Adventure,Spain,,
False,147169,"Harry and his much-younger girlfriend surprise their friends one vacation weekend by announcing their desire to marry immediately. As they are visiting a small island village off the coast of west Australia, that is easier said than done.",0.002801,Under the Lighthouse Dancing,0.0,0.0,1997,Octubre,Sin info,Sin info,,
False,1653,"""The Motorcycle Diaries"" is based on the journals of Che Guevara, leader of the Cuban Revolution. In his memoirs, Guevara recounts adventures he, and best friend Alberto Granado, had while crossing South America by motorcycle in the early 1950s.",7.667491,The Motorcycle Diaries,7.2,295.0,2004,Febrero,Drama,Brazil,,
False,140,"Two children, Ignacio and Enrique, know love, the movies and fear in a religious school at the beginning of the 1960s. Father Manolo, director of the school and its professor of literature, is witness to and part of these discoveries. The three are followed through the next few decades, their reunion marking life and death.",7.66414,Bad Education,7.1,223.0,2004,Marzo,Crime,Spain,,
False,91,"Las Hurdes – Tierra Sin Pan / Land Without Bread / Unpromised Land is a surrealist documentary filmed in Spain in 1932. It is the result of a two month trip through the Las Hurdes region. The film shows the contrasts between the village and the towns in the north of Extremadura, Salamanca and along the border of Portugal.",2.475972,Land Without Bread,6.5,21.0,1933,Diciembre,Documentary,Spain,,
False,800,"A group of juvenile delinquents live a violent and crime-filled life in the festering slums of Mexico City, and the morals of young Pedro are gradually corrupted and destroyed by the others.",3.563355,Los Olvidados,7.9,70.0,1950,Noviembre,Crime,Mexico,,
False,33257,Fando and his partially paralyzed lover Lis search for the mythical city of Tar. Based on Jodorowsky's memories of a play by surrealist Fernando Arrabal.,1.115749,Fando and Lis,6.8,22.0,1968,Enero,Fantasy,Mexico,,
